"","total_cases","new_cases","total_deaths","reproduction_rate","people_vaccinated","people_fully_vaccinated","stringency_index","population"
"Albania",147369,982,2501,1.23,836613,648637,38.89,2872934
"Angola",47781,237,1227,1.12,1165755,920570,63.89,33933611
"Argentina",5190948,5328,112005,0.74,28005793,14786884,75.93,45605823
"Australia",56560,1467,1019,1.34,12480413,7512554,71.76,25788217
"Austria",690153,1848,10775,1.17,5526808,5236580,58.8,9043072
"Azerbaijan",428736,3845,5677,1.03,4179684,2731755,58.33,10223344
"Bahrain",272635,95,1388,0.96,1147647,1089404,39.35,1748295
"Barbados",5072,40,51,1.4,112239,94803,70.37,287708
"Belgium",1187506,2842,25382,1.07,8452116,8177177,43.06,11632334
"Bolivia",491340,461,18473,0.88,4035898,2796280,44.91,11832936
"Botswana",156927,0,2261,0.99,320308,207695,69.44,2397240
"Brazil",20804215,27345,581150,0.93,136458383,63515389,51.39,213993441
"Cambodia",93510,455,1916,0.98,10894795,8594733,73.15,16946446
"Canada",1511046,3954,27020,1.23,28000160,25567451,69.91,38067913
"Chile",1639123,448,36945,0.83,14431256,13701805,63.43,19212362
"Croatia",374803,805,8338,1.28,1730522,1619592,33.8,4081657
"Cuba",659464,6609,5377,0.9,5672635,3995569,71.76,11317498
"Cyprus",115597,287,512,0.81,575773,522561,43.52,896005
"Czechia",1679476,287,30404,1.17,5965616,5756454,32.41,10724553
"Denmark",347862,834,2586,0.83,4403221,4212498,29.63,5813302
"Djibouti",11757,7,157,1.43,36344,23797,54.63,1002197
"Dominican Republic",350468,295,4008,1,5827045,4671784,51.39,10953714
"Egypt",288732,291,16743,1.37,6182511,3208954,35.19,104258327
"Estonia",142363,407,1293,1.11,728273,638317,28.7,1325188
"Finland",127861,679,1030,0.95,4030265,2835244,36.57,5548361
"France",6868151,33129,115031,0.84,48813537,40651325,66.67,67564251
"Georgia",553697,3886,7482,0.81,813601,421785,50.93,3979773
"Germany",3979839,14158,92262,1.26,54594302,50695751,60.19,83900471
"Greece",590832,2868,13743,0.94,6079739,5748030,61.57,10370747
"Guatemala",475548,5271,12007,1,3389993,1309510,66.2,18249868
"Hungary",812531,194,30059,1.57,5781121,5510678,25,9634162
"Iceland",10856,67,33,0.79,279509,263778,41.67,343360
"India",32857937,47092,439529,1.02,509668131,151908785,70.83,1393409033
"Indonesia",4100138,10337,133676,0.61,64229890,36454433,71.76,276361788
"Ireland",354236,1789,5112,0.97,3707329,3418148,48.15,4982904
"Israel",1082981,16629,7086,1.15,6003697,5502833,56.48,8789776
